country,Total Respondents,Active Users,User Adoption %,Prosumers,Prosumer Rate %,Prosumer Share of Users %,Mean PEI (All),Mean PEI (Users)
Latvia,1001.0,403.0,40.25974025974026,141.0,14.085914085914087,34.98759305210918,10.776723276723274,26.767990074441688
Malta,507.0,157.0,30.96646942800789,18.0,3.5502958579881656,11.464968152866243,8.325115055884286,26.88428874734607
Slovakia,1000.0,303.0,30.3,72.0,7.199999999999999,23.762376237623762,8.722916666666666,28.788503850385037
Hungary,1001.0,301.0,30.069930069930066,60.0,5.994005994005994,19.93355481727575,7.9087579087579085,26.30121816168327
France,1000.0,288.0,28.799999999999997,73.0,7.3,25.34722222222222,7.714583333333332,26.78674768518518
Ireland,1002.0,274.0,27.345309381237527,41.0,4.091816367265469,14.963503649635038,7.507900864936793,27.455900243309
Netherlands,1006.0,264.0,26.24254473161034,58.0,5.7654075546719685,21.96969696969697,6.875414181577204,26.199494949494948
United Kingdom,1004.0,248.0,24.701195219123505,28.0,2.788844621513944,11.29032258064516,6.951361221779548,28.141801075268816
Spain,1005.0,240.0,23.88059701492537,57.0,5.6716417910447765,23.75,7.048092868988391,29.51388888888889
Romania,1006.0,237.0,23.55864811133201,52.0,5.168986083499006,21.940928270042196,6.541998011928429,27.768987341772153
Estonia,1000.0,234.0,23.400000000000002,26.0,2.6,11.11111111111111,6.610416666666666,28.249643874643873
Luxembourg,500.0,116.0,23.200000000000003,24.0,4.8,20.689655172413794,5.766666666666666,24.856321839080458
Slovenia,1000.0,228.0,22.8,48.0,4.8,21.052631578947366,6.2020833333333325,27.202119883040936
Greece,1000.0,228.0,22.8,32.0,3.2,14.035087719298245,6.1375,26.91885964912281
Croatia,1002.0,220.0,21.956087824351297,40.0,3.992015968063872,18.181818181818183,5.823769128409847,26.52462121212121
Denmark,1005.0,214.0,21.293532338308456,41.0,4.079601990049751,19.158878504672895,5.031094527363184,23.627336448598125
Poland,1000.0,198.0,19.8,41.0,4.1000000000000005,20.707070707070706,5.70625,28.819444444444443
Czech Republic,1000.0,181.0,18.099999999999998,30.0,3.0,16.574585635359114,5.208333333333332,28.775322283609576
Cyprus,500.0,90.0,18.0,9.0,1.7999999999999998,10.0,4.408333333333333,24.49074074074074
Portugal,1000.0,178.0,17.8,18.0,1.7999999999999998,10.112359550561797,4.916666666666666,27.621722846441944
Austria,1000.0,175.0,17.5,32.0,3.2,18.285714285714285,4.352083333333332,24.869047619047613
Italy,1000.0,173.0,17.299999999999997,41.0,4.1000000000000005,23.699421965317917,5.191666666666666,30.009633911368013
Lithuania,1000.0,167.0,16.7,18.0,1.7999999999999998,10.778443113772456,4.322916666666666,25.88572854291417
Bulgaria,1001.0,160.0,15.984015984015985,34.0,3.3966033966033966,21.25,4.068847818847818,25.455729166666664
Belgium,1002.0,155.0,15.469061876247507,34.0,3.3932135728542914,21.935483870967744,3.7591483699268133,24.3010752688172
Germany,1000.0,152.0,15.2,21.0,2.1,13.815789473684212,3.3,21.71052631578947
Finland,1001.0,150.0,14.985014985014985,36.0,3.5964035964035967,24.0,3.6942224442224436,24.652777777777775
Sweden,1001.0,138.0,13.786213786213786,24.0,2.3976023976023977,17.391304347826086,3.267565767565767,23.701690821256037
