Predictor,Coefficient,Robust Std Error,t-statistic,p-value,CI Lower (95%),CI Upper (95%)
Intercept,21.523575668313025,0.9097752962858384,23.658122787223522,9.736561414265645e-124,19.740448853568527,23.306702483057524
age_imputed,-0.07639484346940739,0.01179990016933506,-6.474194050212235,9.531933822900301e-11,-0.0995222228224722,-0.05326746411634259
gender_male,1.7016994602483804,0.37877039119295913,4.492693990384993,7.032780569730138e-06,0.9593231351000332,2.4440757853967274
higher_education,2.5013654863095054,0.38786766290901564,6.449017862301826,1.1257729579365652e-10,1.7411588362401127,3.261572136378898
urbanization_score,0.8375421850952817,0.24182254305428338,3.4634578501941955,0.0005332801371068189,0.3635787100589996,1.3115056601315638
adv_cheaper,1.2907814734298568,0.4138562071699456,3.118912924507162,0.0018151959671724662,0.4796382125984162,2.1019247342612974
adv_wider,2.039299132518221,0.41441516559847325,4.920908552111477,8.614337651292259e-07,1.2270603332980112,2.851537931738431
adv_convenient,4.38763023490995,0.41199076695196285,10.64982661473464,1.7469012349387497e-26,3.580143169721068,5.195117300098832
adv_social,1.248036752029254,0.4941135063054387,2.525809831350317,0.01154319463076923,0.2795920753957891,2.2164814286627186
adv_exchange,0.6378630431555553,0.5298938410378804,1.2037562880636625,0.22868378929537236,-0.4007098009082827,1.6764358872193932
disadv_q5_1,-0.15237624783986167,0.521019960694257,-0.29245760111919883,0.769936772851457,-1.17355660602708,0.8688041103473566
disadv_q5_2,-2.1682983543149734,0.44260038361505066,-4.898997910044379,9.632666890709334e-07,-3.0357791657440845,-1.3008175428858624
disadv_q5_3,-0.5940849345211399,0.49519073948039194,-1.1997092981676485,0.2302522606203441,-1.5646409493804647,0.376471080338185
disadv_q5_6,0.21396782277604673,0.44040827910812974,0.48583969222684165,0.6270808297622317,-0.6492165427691514,1.077152188321245
