Predictor,Coefficient,Std Error,z-statistic,p-value,Odds Ratio,CI Lower (95%),CI Upper (95%)
Intercept,-0.7087112519462926,0.12212081013870578,-5.80336186061436,6.499830536205291e-09,0.4922782114179347,0.3874906181990674,0.6254031092756508
PEI,0.03169566860874178,0.002359658535620855,13.432311552824851,3.910127127745182e-41,1.0322033256260248,1.027440566469387,1.0369881628234994
is_prosumer,-0.30006064356438794,0.08598220311003135,-3.4897994318708094,0.00048338318978668554,0.7407732961864567,0.6258887339514814,0.8767454126846234
age_imputed,-0.015419228491934823,0.001934179687110472,-7.971973128810003,1.5616076555093544e-15,0.984699039166097,0.9809731880653109,0.988439041485891
gender_male,-0.05620612645456795,0.05784814082781588,-0.9716150882335983,0.331242073458876,0.9453442553463678,0.844013829337298,1.0588401872728486
higher_education,0.013084601435602779,0.060769645590085214,0.21531475638122824,0.8295219255020914,1.0131705794196058,0.8994051170351058,1.1413261983491612
adv_cheaper,0.17756218474315819,0.06127908389043184,2.897598551907903,0.0037603157510168973,1.1943023229765657,1.0591401368852231,1.3467132336821193
adv_convenient,0.3121210349927271,0.06463928998090232,4.828658159533362,1.3745613756023566e-06,1.3663200555599393,1.2037363622081445,1.550863256137569
adv_social,0.17644040181633894,0.06787370931554884,2.5995396980008443,0.00933488806838859,1.1929633261934711,1.0443663898875795,1.3627032729344977
disadv_q5_2,-0.9007937493660052,0.07205638150541498,-12.501234873948135,7.350059522069205e-36,0.40624707337424176,0.35274083788795846,0.4678695146649206
disadv_q5_3,-0.5955773696453981,0.07864489724041367,-7.572994441390733,3.647179167103691e-14,0.5512442023003339,0.47249952572547005,0.6431121176326533
